Memory,CPU,Total
10132,0.000000,25
10132,0.000000,25
10132,0.000000,25
10132,0.000000,25
10132,0.000000,25
10872,0.000000,100
10872,0.004266,100
10872,0.000000,100
10872,0.003235,100
10872,0.003992,100
10872,0.000000,100
10872,0.000000,100
10872,0.000000,100
10744,0.000000,100
10872,0.000000,100
10872,0.000000,100
10616,0.004705,100
10872,0.006967,100
10872,0.008415,100
10872,0.006734,100
10872,0.000000,100
10872,0.003955,100
10872,0.000000,100
10872,0.000000,100
10872,0.004262,100
10872,0.000000,100
10872,0.011214,50
10872,0.003988,50
10872,0.000000,50
10872,0.000000,50
10872,0.000000,50
10872,0.000000,50
10872,0.004554,50
10872,0.000000,50
10872,0.004022,50
10872,0.003876,30
10872,0.000000,30
10872,0.000000,30
10872,0.000000,30
10872,0.002262,30
