Memory,CPU,Total
14872,0.015998,10
14900,0.027985,10
15424,0.019915,10
15424,0.295922,1
15648,0.004001,5
17028,0.016012,25
17420,0.032027,35
20968,0.028011,45
21840,0.043993,50
14616,0.036016,10
14760,0.048381,40
14528,0.044427,40
17008,0.030975,40
24244,0.092617,100
25268,0.072640,90
26932,0.036627,80
27956,0.048372,70
28724,0.036215,60
29492,0.052474,54
22552,0.072981,63
25752,0.036048,54
26648,0.044202,72
27416,0.063973,81
28696,0.048480,90
29976,0.064603,100
30616,0.048373,50
31000,0.040363,45
32024,0.044463,72
