CantidadSolicitudes,tiempoEjecucion,memoriaUtilizada
77,760,8.569855608330949
15,150,6.22881869049588
76,765,10.579315937580015
76,767,10.583082767502933
88,889,10.796039608829771
30,296,10.20945336562895
91,912,7.832890014164741
6,64,7.0
59,583,9.187352073200497
56,560,7.129283016944967
73,731,10.513727595952437
86,854,7.73809225962049
32,313,8.290018846932618
14,137,8.098032082960527
98,973,11.926295994781112
52,512,11.0
94,949,9.89026427702111
76,754,7.558420713268665
90,900,10.813781191217037
14,132,6.044394119358453
91,903,10.818582177480858
25,245,5.936637939002572
85,860,11.74819284958946
26,257,10.005624549193879
34,336,9.39231742277876
6,70,6.129283016944967
66,655,8.355351096424812
36,350,9.451211111832329
51,517,11.014020470314934
86,859,9.746514321138463
16,154,5.266786540694902
74,744,11.539158811108031
86,851,11.733015321685963
47,474,6.88874324889826
79,789,9.623881490013458
37,380,7.569855608330949
70,710,8.471675214392045
63,628,9.294620748891628
6,68,5.08746284125034
8,88,7.459431618637298
99,985,10.943979914343739
54,537,7.0687782779854125
46,468,10.870364719583405
77,769,10.586839787961827
11,111,4.794415866350106
63,629,7.29691620687929
53,534,8.060695931687555
39,380,9.569855608330949
81,806,11.654636028527968
59,585,9.192292814470768
49,493,9.945443836377912
1,13,1.7004397181410922
8,72,8.169925001442312
7,62,4.954196310386876
65,642,10.326429487122303
74,739,8.52943055414615
93,940,9.876516946565001
85,855,10.73978060977326
96,969,10.920352855415082
39,396,10.62935662007961
47,468,9.870364719583405
64,632,7.303780748177104
13,140,6.129283016944966
50,490,6.936637939002571
65,647,10.337621901992508
36,354,9.467605550082997
67,665,7.3772105303885525
37,379,9.566054038171092
17,164,5.357552004618085
63,626,11.290018846932618
15,143,5.159871336778389
68,677,7.4030120235749965
54,534,11.060695931687555
12,119,8.894817763307945
93,921,10.847057346091336
85,852,8.734709620225837
4,31,4.954196310386876
24,234,7.870364719583405
86,868,10.76155123244448
15,158,5.303780748177103
46,455,6.829722735086058
23,235,6.876516946565
10,90,6.491853096329675
91,916,7.839203788096944
8,82,8.357552004618086
74,745,7.541096615349524
9,85,8.409390936137703
84,841,10.715961990255146
95,943,11.881113960675098
5,50,3.6438561897747244
32,313,7.290018846932618
51,500,9.965784284662087
77,776,7.599912842187129
11,117,4.870364719583405
60,594,7.214319120800766
42,411,9.682994583681683
9,80,4.321928094887362
43,439,9.778077129535358
85,856,7.7414669864011465
64,638,10.31741261376487
