CantidadSolicitudes,tiempoEjecucion,memoriaUtilizada
14,69,4.054262228389085
36,180,2.7459265481648374
12,61,1.9653686687814433
84,424,4.363960227281599
60,295,3.102285572124602
81,409,3.3379785164708746
94,471,3.439791624806392
51,258,4.005613627711627
11,53,3.8639602272816
30,155,2.638062202637119
42,212,4.8639602272816
76,384,4.292481250360578
3,16,1.0
10,50,3.821928094887362
25,123,3.47125725266962
37,187,2.7734472299438186
8,35,1.5646415084724832
42,213,4.86735481011292
3,11,0.7297158093186489
69,348,4.221471747924364
92,458,3.4196018940484727
14,71,2.074873559752341
28,143,4.5799356683891945
12,58,2.928990497563786
8,39,1.6427011094311244
63,319,5.158706306882435
37,182,2.753897320099348
10,47,3.777294425838819
42,206,2.8432502635916093
100,496,4.477098155193438
36,181,2.749922943541603
96,478,4.450433403990375
5,20,3.1609640474436813
81,400,3.3219280948873626
88,435,4.382435795368045
76,381,4.286823593746662
100,505,4.490069788819579
52,261,3.0139529982849425
64,323,5.167695177346962
81,408,3.3362126709857476
93,465,4.430543452997696
41,208,4.850219859070546
77,385,3.2943573177911327
60,296,4.104726682814475
49,242,4.959431618637298
93,469,4.436722056257688
96,483,4.457939689417886
35,174,3.7214717479243644
37,182,2.753897320099348
97,484,5.459431618637297
43,210,4.857122758833061
2,7,0.4036774610288021
14,67,3.033044595228886
23,117,4.435182359791702
19,92,2.2617809780285065
31,156,3.6427011094311244
96,482,4.4564446681149805
45,220,3.8906798567623304
1,1,1.0
8,36,1.584962500721156
68,345,4.215226275832766
96,484,4.459431618637297
75,374,3.2734472299438186
75,374,3.2734472299438186
62,313,3.145009423466309
96,478,3.450433403990375
94,466,3.43209307232714
54,265,4.024924274725281
100,505,4.490069788819579
35,180,3.7459265481648374
11,58,3.928990497563786
8,38,3.6239637567217926
24,119,2.447408881653972
32,161,3.665458439057309
15,76,4.123963756721793
59,298,5.109584260231081
3,14,1.9036774610288019
69,341,5.206813964512087
49,248,4.977098155193438
86,433,3.3791116073633622
70,350,4.2256055559161645
80,395,3.312854421532233
21,109,4.3840921623884626
98,491,3.469789607157346
55,278,5.059470536361753
99,491,4.469789607157346
72,361,4.247927513443585
5,24,3.2924812503605785
34,175,3.725605555916165
55,275,3.0516439042060117
13,65,4.011183906514227
73,363,5.251912868997875
38,191,4.788714414017875
31,150,4.614409345247941
69,346,4.217314113818363
25,124,4.477098155193438
58,286,5.0799356683891945
46,229,4.919601894048473
36,183,2.757849919142022
9,43,3.713132377351049
